city,country,event_time,temperature,humidity,wind_speed,pressure,weather_condition,rainfall,station_id,data_provider,uv_index,visibility
Pune,India,2026-03-03 05:00:00,32.3,71,15.9,941.5,Thunderstorm,3.3,STN_PNE_02,AtmosAPI,3.2,9.2
Chennai,India,2026-03-03 06:00:00,28.7,72,9.4,1010.9,Haze,1.4,STN_CHN_01,AtmosAPI,8.2,13.9
Bangalore,India,2026-03-03 06:00:00,25.5,63,8.4,911.0,Cloudy,7.6,STN_BLR_01,AtmosAPI,8.4,5.4
Hyderabad,India,2026-03-03 06:00:00,39.6,57,14.2,995.2,Partly Cloudy,4.7,STN_HYD_02,AtmosAPI,6.5,12.0
Mumbai,India,2026-03-03 06:00:00,33.4,83,12.3,1008.3,Foggy,8.9,STN_MUM_02,AtmosAPI,3.1,4.6
Delhi,India,2026-03-03 06:00:00,42.8,38,18.4,996.8,Haze,3.7,STN_DEL_01,AtmosAPI,1.3,5.0
Pune,India,2026-03-03 06:00:00,23.3,62,11.7,953.3,Foggy,2.6,STN_PNE_01,AtmosAPI,3.2,3.2
Chennai,India,2026-03-03 07:00:00,37.2,63,14.2,1011.0,Foggy,8.7,STN_CHN_02,AtmosAPI,7.0,13.2
Bangalore,India,2026-03-03 07:00:00,31.0,71,15.4,909.6,Foggy,7.9,STN_BLR_02,AtmosAPI,4.5,12.0
Hyderabad,India,2026-03-03 07:00:00,28.1,65,6.6,993.0,Cloudy,6.2,STN_HYD_01,AtmosAPI,9.3,3.9
Mumbai,India,2026-03-03 07:00:00,31.1,67,19.1,1014.7,Rainy,7.8,STN_MUM_02,AtmosAPI,9.8,3.2
Delhi,India,2026-03-03 07:00:00,24.6,50,14.3,1004.3,Clear,1.8,STN_DEL_01,AtmosAPI,5.1,13.4
Pune,India,2026-03-03 07:00:00,34.0,65,10.0,947.8,Haze,4.4,STN_PNE_01,AtmosAPI,2.2,6.2
Chennai,India,2026-03-03 08:00:00,34.8,62,12.3,1013.1,Cloudy,3.0,STN_CHN_02,AtmosAPI,6.2,7.5
Bangalore,India,2026-03-03 08:00:00,28.7,62,10.1,902.1,Clear,2.9,STN_BLR_01,AtmosAPI,6.3,12.8
Hyderabad,India,2026-03-03 08:00:00,32.3,49,15.4,1003.1,Thunderstorm,3.2,STN_HYD_01,AtmosAPI,2.2,4.1
Mumbai,India,2026-03-03 08:00:00,31.0,82,16.4,1009.4,Clear,6.0,STN_MUM_02,AtmosAPI,6.7,10.9
Delhi,India,2026-03-03 08:00:00,35.6,38,7.5,998.7,Clear,0.2,STN_DEL_01,AtmosAPI,5.7,5.4
Pune,India,2026-03-03 08:00:00,30.2,72,13.9,945.6,Cloudy,7.5,STN_PNE_01,AtmosAPI,10.5,10.5
Chennai,India,2026-03-03 09:00:00,34.3,60,10.7,1012.1,Haze,11.5,STN_CHN_01,AtmosAPI,9.6,14.6
Bangalore,India,2026-03-03 09:00:00,30.2,75,15.7,909.3,Clear,1.1,STN_BLR_01,AtmosAPI,3.7,8.1
Hyderabad,India,2026-03-03 09:00:00,36.7,63,12.7,990.6,Clear,1.7,STN_HYD_02,AtmosAPI,1.6,6.3
Mumbai,India,2026-03-03 09:00:00,32.7,77,23.6,1015.9,Haze,4.8,STN_MUM_01,AtmosAPI,6.9,3.9
Delhi,India,2026-03-03 09:00:00,40.3,41,16.3,1009.6,Clear,6.1,STN_DEL_02,AtmosAPI,6.8,9.1
Pune,India,2026-03-03 09:00:00,23.8,60,16.0,949.8,Thunderstorm,11.1,STN_PNE_02,AtmosAPI,1.9,10.4
Chennai,India,2026-03-03 10:00:00,30.7,85,15.8,1014.0,Rainy,1.3,STN_CHN_01,AtmosAPI,5.5,7.0
Bangalore,India,2026-03-03 10:00:00,27.7,51,13.2,911.6,Foggy,6.2,STN_BLR_02,AtmosAPI,5.7,13.0
Hyderabad,India,2026-03-03 10:00:00,36.2,51,8.6,990.1,Clear,10.1,STN_HYD_02,AtmosAPI,3.0,13.4
Mumbai,India,2026-03-03 10:00:00,29.4,77,12.0,1012.0,Partly Cloudy,3.4,STN_MUM_01,AtmosAPI,3.1,5.4
Delhi,India,2026-03-03 10:00:00,36.8,61,7.7,995.5,Rainy,2.6,STN_DEL_01,AtmosAPI,4.3,12.1
Pune,India,2026-03-03 10:00:00,23.8,70,7.7,945.4,Haze,10.9,STN_PNE_02,AtmosAPI,2.7,12.9
Chennai,India,2026-03-03 11:00:00,32.3,73,12.9,1010.8,Clear,8.4,STN_CHN_02,AtmosAPI,2.3,2.2
Bangalore,India,2026-03-03 11:00:00,29.6,72,10.0,907.2,Thunderstorm,6.4,STN_BLR_01,AtmosAPI,5.2,10.8
Hyderabad,India,2026-03-03 11:00:00,29.4,50,10.8,997.9,Foggy,8.0,STN_HYD_02,AtmosAPI,1.0,3.9
Mumbai,India,2026-03-03 11:00:00,27.8,89,15.1,1014.8,Cloudy,7.5,STN_MUM_02,AtmosAPI,3.6,4.2
Delhi,India,2026-03-03 11:00:00,31.4,35,7.6,996.6,Haze,1.7,STN_DEL_01,AtmosAPI,6.0,5.9
Pune,India,2026-03-03 11:00:00,23.3,67,14.6,951.1,Cloudy,11.1,STN_PNE_01,AtmosAPI,7.8,7.8
Chennai,India,2026-03-03 12:00:00,29.7,68,18.9,1011.9,Thunderstorm,10.6,STN_CHN_01,AtmosAPI,6.6,2.2
Bangalore,India,2026-03-03 12:00:00,21.5,59,6.1,911.5,Cloudy,2.6,STN_BLR_02,AtmosAPI,3.3,10.4
Hyderabad,India,2026-03-03 12:00:00,32.6,56,9.0,999.6,Clear,7.1,STN_HYD_01,AtmosAPI,3.8,8.7
Mumbai,India,2026-03-03 12:00:00,31.3,89,21.1,1015.0,Haze,18.1,STN_MUM_02,AtmosAPI,3.7,4.1
Delhi,India,2026-03-03 12:00:00,40.5,63,16.6,1004.6,Rainy,3.8,STN_DEL_02,AtmosAPI,7.8,2.3
Pune,India,2026-03-03 12:00:00,23.4,73,13.2,953.5,Cloudy,9.8,STN_PNE_02,AtmosAPI,6.5,2.4
Chennai,India,2026-03-03 13:00:00,32.1,74,17.5,1013.8,Rainy,0.2,STN_CHN_01,AtmosAPI,1.7,14.9
Bangalore,India,2026-03-03 13:00:00,27.9,73,11.7,910.1,Foggy,4.0,STN_BLR_02,AtmosAPI,3.1,7.6
Hyderabad,India,2026-03-03 13:00:00,33.2,67,17.9,1001.1,Clear,2.4,STN_HYD_02,AtmosAPI,9.3,13.3
Mumbai,India,2026-03-03 13:00:00,33.9,78,16.7,1012.1,Rainy,1.3,STN_MUM_01,AtmosAPI,1.9,6.9
Delhi,India,2026-03-03 13:00:00,30.7,60,21.1,1006.4,Partly Cloudy,1.9,STN_DEL_02,AtmosAPI,10.7,9.2
Pune,India,2026-03-03 13:00:00,30.8,70,10.0,947.3,Thunderstorm,8.1,STN_PNE_02,AtmosAPI,10.2,7.1
Chennai,India,2026-03-03 14:00:00,37.2,84,18.0,1010.9,Foggy,4.5,STN_CHN_02,AtmosAPI,4.0,12.6
Bangalore,India,2026-03-03 14:00:00,27.0,74,7.2,900.6,Thunderstorm,9.6,STN_BLR_02,AtmosAPI,1.7,4.9
Hyderabad,India,2026-03-03 14:00:00,30.0,57,6.4,995.1,Cloudy,9.9,STN_HYD_02,AtmosAPI,9.8,12.1
Mumbai,India,2026-03-03 14:00:00,28.6,84,10.5,1013.2,Cloudy,0.2,STN_MUM_02,AtmosAPI,7.8,4.3
Delhi,India,2026-03-03 14:00:00,30.3,44,28.9,995.6,Thunderstorm,1.3,STN_DEL_01,AtmosAPI,7.6,8.2
Pune,India,2026-03-03 14:00:00,32.3,73,17.2,944.5,Clear,7.0,STN_PNE_02,AtmosAPI,4.3,8.0
Chennai,India,2026-03-03 15:00:00,28.6,80,16.5,1007.9,Thunderstorm,9.5,STN_CHN_01,AtmosAPI,4.8,2.9
Bangalore,India,2026-03-03 15:00:00,20.5,75,17.0,905.5,Rainy,3.1,STN_BLR_01,AtmosAPI,1.3,2.6
Hyderabad,India,2026-03-03 15:00:00,38.1,50,13.5,991.2,Cloudy,0.2,STN_HYD_01,AtmosAPI,9.0,3.0
Mumbai,India,2026-03-03 15:00:00,27.6,89,19.9,1009.6,Clear,18.7,STN_MUM_02,AtmosAPI,1.8,8.2
Delhi,India,2026-03-03 15:00:00,40.1,51,23.2,997.5,Clear,1.1,STN_DEL_02,AtmosAPI,8.3,7.5
Pune,India,2026-03-03 15:00:00,23.8,70,13.1,940.5,Foggy,3.0,STN_PNE_02,AtmosAPI,10.0,8.9
Chennai,India,2026-03-03 16:00:00,31.2,82,14.9,1008.9,Rainy,3.6,STN_CHN_01,AtmosAPI,2.5,7.3
Bangalore,India,2026-03-03 16:00:00,29.3,61,14.6,914.1,Foggy,3.7,STN_BLR_01,AtmosAPI,1.0,5.4
Hyderabad,India,2026-03-03 16:00:00,35.2,51,16.4,992.1,Clear,9.9,STN_HYD_02,AtmosAPI,7.7,5.6
Mumbai,India,2026-03-03 16:00:00,29.3,69,23.1,1009.4,Haze,7.0,STN_MUM_02,AtmosAPI,3.0,10.2
Delhi,India,2026-03-03 16:00:00,32.5,50,8.6,998.8,Cloudy,5.1,STN_DEL_01,AtmosAPI,4.5,7.2
Pune,India,2026-03-03 16:00:00,23.4,58,16.8,954.9,Foggy,4.3,STN_PNE_02,AtmosAPI,3.3,2.4
Chennai,India,2026-03-03 17:00:00,35.6,77,11.2,1013.0,Rainy,0.7,STN_CHN_02,AtmosAPI,8.2,14.9
Bangalore,India,2026-03-03 17:00:00,27.8,50,15.1,904.0,Haze,9.9,STN_BLR_01,AtmosAPI,3.5,14.0
Hyderabad,India,2026-03-03 17:00:00,37.3,65,7.8,997.5,Partly Cloudy,6.8,STN_HYD_01,AtmosAPI,5.1,12.6
Mumbai,India,2026-03-03 17:00:00,33.1,73,10.1,1014.4,Cloudy,6.6,STN_MUM_02,AtmosAPI,3.3,9.1
Delhi,India,2026-03-03 17:00:00,26.2,65,5.8,1003.1,Partly Cloudy,7.1,STN_DEL_02,AtmosAPI,9.8,10.6
Pune,India,2026-03-03 17:00:00,30.3,60,19.5,945.2,Clear,9.3,STN_PNE_01,AtmosAPI,5.2,4.4
Chennai,India,2026-03-03 18:00:00,36.7,67,16.7,1012.3,Haze,12.1,STN_CHN_02,AtmosAPI,8.6,2.2
Bangalore,India,2026-03-03 18:00:00,30.4,56,13.0,907.4,Partly Cloudy,3.9,STN_BLR_01,AtmosAPI,7.8,7.0
Hyderabad,India,2026-03-03 18:00:00,31.7,68,17.5,1001.2,Rainy,0.8,STN_HYD_01,AtmosAPI,10.1,2.0
Mumbai,India,2026-03-03 18:00:00,35.2,88,12.8,1016.0,Rainy,3.5,STN_MUM_02,AtmosAPI,6.2,10.4
Delhi,India,2026-03-03 18:00:00,28.7,58,15.6,1002.0,Rainy,4.8,STN_DEL_02,AtmosAPI,3.5,5.7
Pune,India,2026-03-03 18:00:00,30.5,50,13.0,949.7,Foggy,2.4,STN_PNE_02,AtmosAPI,8.3,11.9
Chennai,India,2026-03-03 19:00:00,35.2,60,13.0,1005.9,Partly Cloudy,4.2,STN_CHN_01,AtmosAPI,1.3,10.8
Bangalore,India,2026-03-03 19:00:00,24.7,67,9.5,907.1,Thunderstorm,5.6,STN_BLR_02,AtmosAPI,6.8,12.5
Hyderabad,India,2026-03-03 19:00:00,36.3,64,11.7,994.6,Clear,2.6,STN_HYD_01,AtmosAPI,8.9,7.9
Mumbai,India,2026-03-03 19:00:00,28.2,80,14.7,1011.5,Haze,19.6,STN_MUM_02,AtmosAPI,8.8,13.0
Delhi,India,2026-03-03 19:00:00,32.3,57,18.1,1007.0,Cloudy,6.2,STN_DEL_02,AtmosAPI,10.2,5.4
Pune,India,2026-03-03 19:00:00,33.4,70,18.5,941.4,Cloudy,6.0,STN_PNE_01,AtmosAPI,1.6,6.4
Chennai,India,2026-03-03 20:00:00,28.4,75,13.7,1010.7,Clear,2.1,STN_CHN_02,AtmosAPI,6.6,9.3
Bangalore,India,2026-03-03 20:00:00,21.0,61,17.0,913.2,Rainy,0.4,STN_BLR_01,AtmosAPI,9.8,10.1
Hyderabad,India,2026-03-03 20:00:00,26.7,66,10.9,998.7,Cloudy,9.2,STN_HYD_02,AtmosAPI,5.0,10.2
Mumbai,India,2026-03-03 20:00:00,27.8,73,24.2,1011.5,Thunderstorm,17.7,STN_MUM_01,AtmosAPI,5.3,4.7
Delhi,India,2026-03-03 20:00:00,30.9,59,9.8,996.1,Cloudy,3.7,STN_DEL_02,AtmosAPI,3.9,12.5
Pune,India,2026-03-03 20:00:00,26.8,55,12.5,941.9,Rainy,9.6,STN_PNE_02,AtmosAPI,2.5,9.0
Chennai,India,2026-03-03 21:00:00,34.0,83,11.8,1005.9,Rainy,2.4,STN_CHN_02,AtmosAPI,7.6,15.0
Bangalore,India,2026-03-03 21:00:00,21.3,60,14.9,904.6,Partly Cloudy,7.6,STN_BLR_01,AtmosAPI,2.9,10.4
Hyderabad,India,2026-03-03 21:00:00,34.6,50,19.6,992.4,Cloudy,1.0,STN_HYD_02,AtmosAPI,10.0,3.4
Mumbai,India,2026-03-03 21:00:00,30.4,67,15.9,1011.9,Cloudy,14.1,STN_MUM_01,AtmosAPI,10.2,4.0
Delhi,India,2026-03-03 21:00:00,24.5,47,20.2,996.4,Clear,4.6,STN_DEL_01,AtmosAPI,3.2,11.7
Pune,India,2026-03-03 21:00:00,26.2,76,11.6,942.6,Thunderstorm,8.4,STN_PNE_02,AtmosAPI,7.3,10.4
Chennai,India,2026-03-03 22:00:00,32.0,65,19.0,1013.3,Clear,3.2,STN_CHN_02,AtmosAPI,7.8,7.9
Bangalore,India,2026-03-03 22:00:00,30.8,52,9.3,906.4,Partly Cloudy,10.0,STN_BLR_02,AtmosAPI,9.1,3.8
Hyderabad,India,2026-03-03 22:00:00,27.6,52,20.9,991.0,Partly Cloudy,5.3,STN_HYD_01,AtmosAPI,4.6,4.9
Mumbai,India,2026-03-03 22:00:00,29.9,71,13.6,1012.4,Haze,9.9,STN_MUM_02,AtmosAPI,6.9,10.3
Delhi,India,2026-03-03 22:00:00,32.1,51,29.6,1008.2,Partly Cloudy,2.4,STN_DEL_01,AtmosAPI,3.7,8.5
Pune,India,2026-03-03 22:00:00,31.9,53,10.4,942.6,Clear,5.5,STN_PNE_02,AtmosAPI,9.7,6.1
Chennai,India,2026-03-03 23:00:00,36.0,67,20.0,1014.9,Cloudy,7.8,STN_CHN_01,AtmosAPI,10.8,8.3
Bangalore,India,2026-03-03 23:00:00,21.7,52,12.3,900.3,Cloudy,7.7,STN_BLR_01,AtmosAPI,1.5,13.8
Hyderabad,India,2026-03-03 23:00:00,35.0,69,7.0,990.7,Cloudy,8.8,STN_HYD_02,AtmosAPI,10.6,14.8
Mumbai,India,2026-03-03 23:00:00,35.6,84,20.2,1010.9,Thunderstorm,4.2,STN_MUM_01,AtmosAPI,7.0,4.9
Delhi,India,2026-03-03 23:00:00,22.2,49,23.4,1001.2,Partly Cloudy,1.6,STN_DEL_01,AtmosAPI,10.3,13.6
Pune,India,2026-03-03 23:00:00,26.4,58,18.4,951.7,Thunderstorm,4.1,STN_PNE_02,AtmosAPI,5.9,12.5
