city,country,event_time,temperature,humidity,wind_speed,pressure,weather_condition,rainfall,station_id,data_provider,uv_index,visibility
Pune,India,2026-03-07 18:00:00,33.5,64,9.1,944.9,Partly Cloudy,2.2,STN_PNE_02,ClimaData,8.3,2.5
Chennai,India,2026-03-07 19:00:00,35.5,73,11.3,1010.7,Thunderstorm,12.9,STN_CHN_01,ClimaData,2.7,7.4
Bangalore,India,2026-03-07 19:00:00,31.0,54,13.3,904.3,Rainy,8.4,STN_BLR_02,ClimaData,5.2,9.7
Hyderabad,India,2026-03-07 19:00:00,28.5,63,13.9,1001.2,Haze,8.2,STN_HYD_02,ClimaData,8.7,5.5
Mumbai,India,2026-03-07 19:00:00,34.7,80,16.1,1015.1,Rainy,15.7,STN_MUM_01,ClimaData,11.0,14.0
Delhi,India,2026-03-07 19:00:00,34.4,54,14.3,1001.6,Foggy,6.3,STN_DEL_01,ClimaData,7.0,11.6
Pune,India,2026-03-07 19:00:00,30.4,62,16.2,945.1,Partly Cloudy,5.0,STN_PNE_02,ClimaData,9.8,8.5
Chennai,India,2026-03-07 20:00:00,28.7,68,16.9,1012.7,Clear,12.1,STN_CHN_02,ClimaData,9.2,8.7
Bangalore,India,2026-03-07 20:00:00,28.0,64,6.3,909.6,Rainy,0.6,STN_BLR_01,ClimaData,1.0,2.6
Hyderabad,India,2026-03-07 20:00:00,29.6,51,19.9,997.2,Rainy,1.4,STN_HYD_02,ClimaData,7.3,7.9
Mumbai,India,2026-03-07 20:00:00,30.7,77,14.5,1014.6,Foggy,0.9,STN_MUM_01,ClimaData,4.7,5.8
Delhi,India,2026-03-07 20:00:00,32.4,42,13.6,997.9,Clear,1.7,STN_DEL_01,ClimaData,1.8,12.8
Pune,India,2026-03-07 20:00:00,25.1,62,8.9,954.5,Thunderstorm,4.3,STN_PNE_02,ClimaData,10.6,8.0
Chennai,India,2026-03-07 21:00:00,33.1,60,16.1,1008.5,Clear,14.4,STN_CHN_01,ClimaData,3.3,4.6
Bangalore,India,2026-03-07 21:00:00,23.8,59,16.8,914.5,Partly Cloudy,6.7,STN_BLR_02,ClimaData,7.3,2.6
Hyderabad,India,2026-03-07 21:00:00,28.4,57,18.2,990.4,Foggy,4.2,STN_HYD_02,ClimaData,8.9,11.7
Mumbai,India,2026-03-07 21:00:00,34.6,88,19.0,1010.1,Rainy,2.7,STN_MUM_01,ClimaData,1.7,11.4
Delhi,India,2026-03-07 21:00:00,38.0,55,16.4,1003.7,Partly Cloudy,7.7,STN_DEL_02,ClimaData,1.8,13.4
Pune,India,2026-03-07 21:00:00,24.8,56,10.9,943.4,Rainy,6.6,STN_PNE_02,ClimaData,4.3,12.9
Chennai,India,2026-03-07 22:00:00,29.7,76,16.5,1010.0,Clear,1.4,STN_CHN_02,ClimaData,4.7,12.7
Bangalore,India,2026-03-07 22:00:00,25.3,55,13.3,912.3,Foggy,6.5,STN_BLR_01,ClimaData,6.2,3.7
Hyderabad,India,2026-03-07 22:00:00,31.2,58,10.9,993.7,Haze,0.4,STN_HYD_01,ClimaData,10.0,3.8
Mumbai,India,2026-03-07 22:00:00,32.6,85,23.3,1009.2,Thunderstorm,5.6,STN_MUM_01,ClimaData,2.2,14.1
Delhi,India,2026-03-07 22:00:00,23.3,61,29.1,1001.8,Clear,0.0,STN_DEL_01,ClimaData,8.9,14.4
Pune,India,2026-03-07 22:00:00,29.0,74,17.7,943.8,Partly Cloudy,10.8,STN_PNE_01,ClimaData,8.0,12.4
Chennai,India,2026-03-07 23:00:00,36.8,78,13.1,1006.1,Partly Cloudy,14.4,STN_CHN_01,ClimaData,8.4,3.4
Bangalore,India,2026-03-07 23:00:00,28.6,72,16.7,905.9,Cloudy,0.2,STN_BLR_02,ClimaData,10.7,11.9
Hyderabad,India,2026-03-07 23:00:00,26.6,51,6.6,1003.3,Clear,3.8,STN_HYD_02,ClimaData,7.6,9.2
Mumbai,India,2026-03-07 23:00:00,29.9,75,23.4,1009.9,Rainy,13.9,STN_MUM_01,ClimaData,4.8,9.1
Delhi,India,2026-03-07 23:00:00,30.9,52,24.4,1009.0,Cloudy,7.7,STN_DEL_01,ClimaData,3.7,13.7
Pune,India,2026-03-07 23:00:00,23.9,77,10.7,941.1,Thunderstorm,4.9,STN_PNE_01,ClimaData,10.9,12.4
