city,country,event_time,temperature,humidity,wind_speed,pressure,condition,rainfall,station_id,data_provider,uv_index,visibility
Mumbai,India,2026-03-04 11:00:00,29.7,73,13.0,1014.0,Foggy,8.9,STN_MUM_02,ClimaData,4.1,2.2
Delhi,India,2026-03-04 11:00:00,40.0,59,20.1,1004.0,Rainy,0.9,STN_DEL_01,ClimaData,2.5,7.9
Pune,India,2026-03-04 11:00:00,33.4,58,14.7,950.3,Haze,9.2,STN_PNE_01,ClimaData,6.5,7.9
Chennai,India,2026-03-04 12:00:00,30.6,63,9.0,1011.9,Cloudy,8.3,STN_CHN_02,ClimaData,4.6,13.2
Bangalore,India,2026-03-04 12:00:00,24.3,62,13.7,902.6,Rainy,8.8,STN_BLR_01,ClimaData,6.4,5.9
Hyderabad,India,2026-03-04 12:00:00,38.9,69,15.9,994.8,Partly Cloudy,4.2,STN_HYD_01,ClimaData,9.1,12.8
Mumbai,India,2026-03-04 12:00:00,28.6,84,14.4,1010.1,Clear,8.9,STN_MUM_01,ClimaData,4.5,5.0
Delhi,India,2026-03-04 12:00:00,40.4,36,14.5,1006.9,Haze,6.9,STN_DEL_01,ClimaData,4.2,10.8
Pune,India,2026-03-04 12:00:00,28.4,58,9.0,942.6,Clear,8.3,STN_PNE_02,ClimaData,6.6,5.4
Chennai,India,2026-03-04 13:00:00,29.4,60,11.1,1010.2,Partly Cloudy,12.4,STN_CHN_02,ClimaData,9.0,6.3
Bangalore,India,2026-03-04 13:00:00,27.0,58,9.3,900.7,Foggy,2.4,STN_BLR_01,ClimaData,7.8,7.0
Hyderabad,India,2026-03-04 13:00:00,25.6,51,17.4,991.7,Cloudy,0.4,STN_HYD_02,ClimaData,2.5,11.3
Mumbai,India,2026-03-04 13:00:00,32.1,82,17.4,1009.4,Rainy,3.4,STN_MUM_02,ClimaData,10.5,5.8
Delhi,India,2026-03-04 13:00:00,39.8,45,20.7,998.4,Clear,0.5,STN_DEL_01,ClimaData,2.4,14.7
Pune,India,2026-03-04 13:00:00,26.6,68,8.3,940.6,Foggy,11.2,STN_PNE_01,ClimaData,1.8,4.0
Chennai,India,2026-03-04 14:00:00,29.9,72,8.2,1007.9,Partly Cloudy,8.5,STN_CHN_01,ClimaData,3.4,14.0
Bangalore,India,2026-03-04 14:00:00,24.4,74,9.8,901.3,Foggy,6.8,STN_BLR_02,ClimaData,4.7,7.3
Hyderabad,India,2026-03-04 14:00:00,30.4,63,10.0,992.3,Partly Cloudy,6.3,STN_HYD_01,ClimaData,10.4,8.6
Mumbai,India,2026-03-04 14:00:00,35.3,75,18.7,1012.5,Foggy,1.9,STN_MUM_01,ClimaData,4.6,8.1
Delhi,India,2026-03-04 14:00:00,31.4,47,15.5,996.5,Cloudy,2.1,STN_DEL_01,ClimaData,4.4,12.0
Pune,India,2026-03-04 14:00:00,27.2,61,9.8,949.9,Partly Cloudy,1.8,STN_PNE_01,ClimaData,3.0,9.6
Chennai,India,2026-03-04 15:00:00,37.9,73,15.9,1010.9,Cloudy,11.5,STN_CHN_02,ClimaData,2.4,7.7
Bangalore,India,2026-03-04 15:00:00,31.6,68,15.5,901.4,Clear,10.0,STN_BLR_02,ClimaData,7.2,4.6
Hyderabad,India,2026-03-04 15:00:00,25.0,67,15.8,996.1,Thunderstorm,10.1,STN_HYD_02,ClimaData,7.0,14.8
Mumbai,India,2026-03-04 15:00:00,35.4,66,14.6,1009.3,Partly Cloudy,6.4,STN_MUM_02,ClimaData,2.6,13.3
Delhi,India,2026-03-04 15:00:00,26.8,39,11.4,1009.3,Thunderstorm,6.3,STN_DEL_02,ClimaData,5.8,6.5
Pune,India,2026-03-04 15:00:00,32.6,59,13.9,940.4,Haze,1.6,STN_PNE_01,ClimaData,4.7,13.2
Chennai,India,2026-03-04 16:00:00,34.2,83,10.7,1005.1,Partly Cloudy,11.9,STN_CHN_02,ClimaData,2.3,5.3
Bangalore,India,2026-03-04 16:00:00,31.4,68,15.4,903.0,Cloudy,9.0,STN_BLR_02,ClimaData,6.6,10.6
Hyderabad,India,2026-03-04 16:00:00,39.3,68,13.7,1003.4,Partly Cloudy,8.1,STN_HYD_01,ClimaData,1.3,9.8
Mumbai,India,2026-03-04 16:00:00,32.9,78,15.2,1014.4,Rainy,19.1,STN_MUM_02,ClimaData,5.0,15.0
Delhi,India,2026-03-04 16:00:00,27.1,61,16.5,1009.0,Cloudy,5.5,STN_DEL_02,ClimaData,8.6,7.9
Pune,India,2026-03-04 16:00:00,32.3,76,16.4,943.0,Rainy,8.3,STN_PNE_02,ClimaData,2.0,5.5
Chennai,India,2026-03-04 17:00:00,29.5,66,11.7,1006.6,Cloudy,13.1,STN_CHN_01,ClimaData,1.6,3.6
Bangalore,India,2026-03-04 17:00:00,31.2,68,8.7,902.8,Rainy,5.7,STN_BLR_02,ClimaData,2.1,5.4
Hyderabad,India,2026-03-04 17:00:00,35.7,62,14.4,993.9,Clear,11.5,STN_HYD_01,ClimaData,1.3,11.5
Mumbai,India,2026-03-04 17:00:00,32.5,90,14.8,1013.4,Partly Cloudy,4.6,STN_MUM_02,ClimaData,5.2,10.7
Delhi,India,2026-03-04 17:00:00,34.4,62,11.3,1006.5,Rainy,7.1,STN_DEL_01,ClimaData,1.4,3.6
Pune,India,2026-03-04 17:00:00,33.5,75,6.4,952.2,Foggy,7.1,STN_PNE_02,ClimaData,6.4,13.9
Chennai,India,2026-03-04 18:00:00,29.1,79,14.6,1007.1,Haze,8.3,STN_CHN_01,ClimaData,1.4,13.7
Bangalore,India,2026-03-04 18:00:00,31.0,70,9.6,913.2,Foggy,6.9,STN_BLR_01,ClimaData,5.1,6.4
Hyderabad,India,2026-03-04 18:00:00,26.5,68,18.1,992.1,Cloudy,11.1,STN_HYD_01,ClimaData,3.2,13.0
Mumbai,India,2026-03-04 18:00:00,30.9,71,10.2,1012.2,Thunderstorm,14.3,STN_MUM_01,ClimaData,10.6,3.3
Delhi,India,2026-03-04 18:00:00,37.8,46,26.3,1004.5,Rainy,8.0,STN_DEL_01,ClimaData,6.0,4.8
Pune,India,2026-03-04 18:00:00,22.7,78,15.3,944.0,Haze,1.2,STN_PNE_01,ClimaData,2.0,6.3
Chennai,India,2026-03-04 19:00:00,34.2,63,10.9,1012.9,Partly Cloudy,8.6,STN_CHN_01,ClimaData,4.9,3.9
Bangalore,India,2026-03-04 19:00:00,23.9,54,8.1,900.6,Foggy,0.5,STN_BLR_02,ClimaData,6.5,5.1
Hyderabad,India,2026-03-04 19:00:00,38.0,51,16.0,991.5,Cloudy,8.6,STN_HYD_01,ClimaData,5.5,4.6
Mumbai,India,2026-03-04 19:00:00,32.8,73,21.8,1009.5,Thunderstorm,13.4,STN_MUM_01,ClimaData,9.3,7.3
Delhi,India,2026-03-04 19:00:00,31.0,47,9.2,1005.9,Foggy,3.9,STN_DEL_01,ClimaData,7.1,6.5
Pune,India,2026-03-04 19:00:00,34.0,58,6.1,946.7,Cloudy,4.7,STN_PNE_02,ClimaData,6.8,2.3
Chennai,India,2026-03-04 20:00:00,36.2,73,19.1,1012.5,Foggy,11.9,STN_CHN_01,ClimaData,8.5,2.7
Bangalore,India,2026-03-04 20:00:00,31.5,59,10.9,909.7,Foggy,3.8,STN_BLR_02,ClimaData,3.7,11.6
Hyderabad,India,2026-03-04 20:00:00,37.0,46,7.0,999.8,Haze,9.2,STN_HYD_01,ClimaData,7.2,11.7
Mumbai,India,2026-03-04 20:00:00,27.1,85,17.9,1008.8,Foggy,15.1,STN_MUM_01,ClimaData,3.1,9.6
Delhi,India,2026-03-04 20:00:00,39.4,38,7.7,996.8,Cloudy,4.4,STN_DEL_01,ClimaData,5.8,9.9
Pune,India,2026-03-04 20:00:00,25.6,56,6.7,947.9,Partly Cloudy,0.9,STN_PNE_01,ClimaData,2.3,11.0
Chennai,India,2026-03-04 21:00:00,34.6,62,11.0,1013.7,Clear,2.3,STN_CHN_02,ClimaData,5.2,9.9
Bangalore,India,2026-03-04 21:00:00,22.3,51,12.2,910.5,Thunderstorm,1.6,STN_BLR_02,ClimaData,8.4,12.5
Hyderabad,India,2026-03-04 21:00:00,25.7,54,12.2,997.2,Thunderstorm,7.2,STN_HYD_02,ClimaData,4.3,10.3
Mumbai,India,2026-03-04 21:00:00,31.8,67,14.5,1012.3,Cloudy,6.8,STN_MUM_02,ClimaData,3.4,8.6
Delhi,India,2026-03-04 21:00:00,27.7,60,14.5,1006.1,Partly Cloudy,6.6,STN_DEL_01,ClimaData,4.0,4.5
Pune,India,2026-03-04 21:00:00,25.4,67,8.3,943.2,Partly Cloudy,5.6,STN_PNE_01,ClimaData,3.7,14.2
Chennai,India,2026-03-04 22:00:00,31.9,62,15.0,1009.8,Haze,1.5,STN_CHN_01,ClimaData,7.4,12.5
Bangalore,India,2026-03-04 22:00:00,29.7,58,5.1,905.9,Clear,6.0,STN_BLR_01,ClimaData,5.2,6.3
Hyderabad,India,2026-03-04 22:00:00,31.4,68,12.1,994.0,Thunderstorm,7.9,STN_HYD_01,ClimaData,10.1,2.5
Mumbai,India,2026-03-04 22:00:00,35.7,82,13.5,1015.2,Haze,6.6,STN_MUM_01,ClimaData,6.1,14.1
Delhi,India,2026-03-04 22:00:00,41.4,42,20.9,999.0,Foggy,1.5,STN_DEL_01,ClimaData,1.1,11.3
Pune,India,2026-03-04 22:00:00,28.2,59,16.2,940.3,Thunderstorm,9.7,STN_PNE_01,ClimaData,1.4,10.5
Chennai,India,2026-03-04 23:00:00,28.1,72,12.3,1014.8,Rainy,0.4,STN_CHN_02,ClimaData,8.2,5.0
Bangalore,India,2026-03-04 23:00:00,31.8,51,10.6,906.8,Thunderstorm,1.7,STN_BLR_01,ClimaData,7.3,13.2
Hyderabad,India,2026-03-04 23:00:00,32.7,61,9.5,1001.5,Partly Cloudy,8.8,STN_HYD_02,ClimaData,4.2,5.0
Mumbai,India,2026-03-04 23:00:00,32.4,75,24.4,1015.9,Clear,17.7,STN_MUM_01,ClimaData,2.1,12.1
Delhi,India,2026-03-04 23:00:00,32.0,43,15.9,997.6,Haze,4.2,STN_DEL_01,ClimaData,5.3,11.3
Pune,India,2026-03-04 23:00:00,31.9,74,18.1,943.0,Foggy,11.4,STN_PNE_01,ClimaData,1.5,2.3
